Features,CIP_Importance
Cutoff_5,0.1496792733669281
group_12448,0.1467711180448532
group_23769,0.1462753862142563
group_394,0.1435100883245468
glyA1,0.14227302372455594
group_9503,0.1413334608078003
pilM2,0.1376080513000488
Cutoff_14,0.1356893479824066
group_31920,0.13082677125930783
Cutoff_2,0.1307805776596069
group_28096,0.1307033598423004
hxcY,0.1306871771812439
group_5495,0.1304832249879837
group_33263,0.12472927570343016
group_11113,0.1241367533802986
group_29856,0.12236272543668746
group_21977,0.12199986726045607
group_8048,0.1212993711233139
group_12476,0.1195293515920639
pdxY,0.11941862106323241
group_5411,0.11906231939792632
Cutoff_11,0.11868418008089064
group_26476,0.11812437325716017
group_26507,0.11741044372320174
group_28702,0.1158621534705162
hsiF2,0.1137113571166992
Cutoff_56,0.11243368685245513
Cutoff_30,0.1123596802353859
group_17765,0.10914280265569686
group_7929,0.1057533249258995
Cutoff_249,0.10055048018693923
group_10918,0.09923654794692992
group_16130,0.0990658402442932
group_17336,0.0979175567626953
group_35367,0.0963301584124565
Cutoff_12,0.09629128873348235
group_2085,0.0957556515932083
group_15569,0.09533726423978804
group_4592,0.09509338438510893
group_35752,0.09221645444631575
Cutoff_9767,0.09104948490858074
group_11191,0.09038048982620235
group_5292,0.08630326390266414
group_15426,0.08436889201402663
group_1155,0.0834931582212448
Cutoff_28,0.08327815681695934
vapC,0.08324980735778804
group_3367,0.08270015567541121
Cutoff_9070,0.0804450213909149
group_31001,0.08023826777935024
group_30935,0.07828389108181
Cutoff_4659,0.0772724151611328
Cutoff_35,0.07583674788475034
group_27703,0.07504059374332425
group_14916,0.07317931950092314
Cutoff_855,0.0727350115776062
group_6003,0.07232960313558576
group_29021,0.07184050232172011
group_7312,0.07069957256317135
group_16308,0.069398432970047
pscP,0.06456241756677625
group_34786,0.0630054920911789
group_1269,0.06202836707234382
Cutoff_60,0.061866909265518154
Cutoff_64,0.05897636711597442
group_24245,0.05894899368286132
group_19385,0.05884855985641476
group_26221,0.05827755481004714
group_13648,0.056675426661968224
group_35092,0.05542806535959243
group_2824,0.055083401501178735
Cutoff_9878,0.05359245091676711
group_26887,0.05354217067360874
Cutoff_36,0.05301980301737783
group_10085,0.052544318139553035
group_3391,0.05224393308162685
group_11418,0.05155425518751144
group_15834,0.05100888386368751
group_16224,0.04603876173496243
group_10654,0.045760393142700154
group_182,0.0456831194460392
group_33570,0.04512977600097652
group_2531,0.0448148250579834
group_34483,0.042871408164501135
Cutoff_9401,0.04128870368003843
group_33633,0.04085518792271612
group_24992,0.03925784677267073
Cutoff_16,0.03708810359239573
group_28922,0.0364772081375122
group_22270,0.034231144934892634
group_32914,0.03259114176034922
group_34252,0.031663239002227714
gloB_1,0.026959359645843502
group_13024,0.02305102348327629
Cutoff_6,0.021016612648963918
group_14689,0.01690885238349429
group_18555,0.009834706783294608
group_10470,0.0011630058288574006
