shared_genes
ybaB
carB
clpB
prlC
waaA
recR
mtnN
secE
yccA
thrS
gltP
dapE
tig
ibpA
purM
znuC
rpsA
pgsA
greA
rph
dut
era
nrdB
ftsL
pykA
ruvA
pgm
smpB
recO
kdsA
pntB
nuoI
ddlA
pstC
gltB
atpG
cyoE
yejK
polA
yfcA
hemL
ppnN
rpsM
rbfA
hflK
serS
plsX
rpsB
arcB
rluC
fbp
glyS
pstB
lgt
cmk
clsB
rplU
cysW
ruvB
metR
ftsI
cysG
argH
glyQ
hisP
dctA
trxA
ribF
rpsD
bioB
grxD
typA
ccmE
uvrA
lepB
epd
sdaB
valS
ilvC
secF
sdhD
ubiB
nuoL
dnaB
prfC
flgC
gapA
secA
glmS
purU
nuoM
lysP
flgH
arcA
atpB
apt
maeB
pckA
gor
mdoH
thiI
accD
ccmB
rpoD
ileS
leuS
dnaN
ansA
tamA
yfcD
glnA
ftsW
hslO
pykF
apbC
dnaG
mukF
fabA
mreD
rpe
purF
sdhA
ybeZ
gshA
galU
pgi
lysS
rbsR
mukE
ppiA
ispG
aaeA_2
gyrB
rpoN
radA
pta
argS
mukB
pepA
napB
tpiA
clpX
murJ
dnaA
secY
yajC
hemB
nuoK
rnd
serB
trpB
kdpE
cheA
gyrA
hpf
yhgF
selD
folC
rnhA
truB
pal_1
xerC_2
lspA
hemN
argR
aroB
lptC
fklB
rpoZ
hemH
cysD
phoA
psiE
cysA
yiaD
rpmB
pheT
dapD
amiA
rcnR
narX
truD
surE
tamB
mfd
dapB
murE
recJ
bamA
mlaA
rpmA
gltD
selB
cysP
yceD
ppnP
pheA
queC
bamC
cpxR
murD
kdsC
rimK
fadE
ligA
rpsQ
purB
yciB
cysQ
nhaA
ilvH
accA
moaC
trmO
recN
nirC
hexR
pstS
rpsO
zntR
pgpA
rpsT
cysN
dxs
endA
lolB
rpsP
yccS
rplO
relA
ispA
slyX
groL
fabR
frr
roxA
sdhE
patZ
ndk
cysT
ptsN
ppa
mlaD
dcd
kdpB
glpT
rlpA
tadA
yhfA
sdhC
ihfA
fabD
mtlD
tatA
pepN
cca
pth
pstA
tcdA
yggS
tsaE
nusG
gdhA
hemC
truA
aroC
rplA
rsmA
moaA
yafJ
orn
lptF
ybhF
yigZ
yhhQ
greB
ihfB
ybaK
pnp
nagK
gcvT
hemE
obgE
ilvD
bamB
lysA
rfaH
recQ
ibaG
hisQ
dsbD
rsmI
infA
mlaC
gcvR
xseB
selA
dauR
phoR
mnmA
secB
ppc
murC
yqgF
rluD
murG
coaD
eco
trpE
pdxJ
motB
proC
proS
panE
fdhE
sppA
purH
creB
cysH
glnE
nirD
osmE
amiB
phoP
rsmC
sbcD
fepD
rpmD
ftsB
thiD
cdsA
sspB
priA
topA_2
dgkA
mutL
glpD
trmA
ispD
ppiB
cheY
cpoB
pdxB
moaE
lpxC
rpmI
hfq
rpmF
murF
aceK
hmp
recG
cmoM
purN
pyrE
dnaQ
phoU
znuB
srkA
lpxB
recD
ltaE
mdtC
lplT
rpsF
ubiJ_2
rplL
ispF
atpH
metF
csrA
nhaB
thiC
damX
ygfZ
garK
thiL
mutM
ymdB
nudE
argB
tilS
mobA
dkgB
pabB
edd
flgA
poxB
kdpC
phnG
yfiH
cobS
menH
comR
flgE
phnN
qorB
cobT
ftsK
arnD
yaeQ
ssuA
bioA
moaD
mdtD
trpC
arsC
murB
tsaB
nudJ
nagZ
feoC
pilQ
tusB
ycbX
iscX
ybbJ
fruK
ygiD
aroE
sbcB
gnd
phnF
wrbA
pncA
arnF
panC
rnhB
fepG
ubiC
tyrB
mtgA
fpr
tag
yafV
fmt
sprT
nnr
purD
zitB
ybdG
hemF
purT
flhB
nth
sufE
arnE
dedA
aceF
hrpB
dadX
holB
pabC
lpxK
upp
cysK
ybjJ
kdpA
phnE
ybaN
cyoD
folP
dsbC
trxC
nadB
recX
yibF
hemD
trpA
yqcC
gshB
glk
thiG
murI
cusB
rimI
birA
dusC
pyrF
lnt
mscL
fepB
folA
speG
leuD
flgF
moeB
rnk
rluF
tpx
yohD
gabT
pldA
trmB
hisA
fdnI
yabJ
yedI
yedA
glpQ
folX
umuD
minC
minD
minE
flgJ
rpoH
feoA
hisS
der
bcp
gltS
ybiS
ahpF
gltK
ldhA
yqjC
rlmG
pyrB
engB
yqaA
mutY
hisB
queA
ccmA
phrB
astD
phnP
ubiH
rpoS
hisI
panZ
pphA
ygjP
hisD
vsr
yrdA_1
aes
phoQ
phnM
acpH
pbpC
pdxY
polB
phnL
ygiF
acnB
ssb_1
fadA
hisC
clpA
tesA
fliS
ydgJ
queF
hisH
phnI
potB
yedF
panD
rne
putA
phnK
fis
osmC
zipA
rutB_1
phnH
creC
flgK
ygaV
cheZ
ompR
eutB
yqjG
phnJ
smrA
ampC
narG
gabD
nadA
ggt
mpl
norR_2
frmR
creD
lhgD
aqpZ
cysI
allE
katE
mltF
fadB
tonB
sdhB
selO
aaeB_1
folK
ves
glnS
kdsB
fliA
feoB
mazG
flgG
glpF
cusF
dadA_1
fliE
amtB
ycgM
ansB
pdeG
tolA
ftsY
fliG
fliI
fliJ
fliQ
fliO
fliH
fliN
pal_2
sbnD
cobU
yaaA
gcd
rhtC_1
rhtA
prpC
prpD
dgcP
fliR
flgD
yddE
fliM
tal
betB
epsM
betA
treA
fliP
codA
sbcC
pdeN
aaeA_1
kdpD
tesB
glcB
glcC
cbrA
metG
def
mreC
acnA
htpG
ybhN
dapH
xerC_3
gatA
gmd
cyoA
ssuD
atoB
atoE
aer
rtcA
rcsC
yedK
phnC
rhlE
fdnG_2
umuC
dsdA
sbp
gcl
cyoB
yefM
ada
hmuV
yoeB
hmuT
xcpW
flgL
rhmD
pppA
flgI
dsbG
xseA
ubiK
dbpA
ybaQ
corA
mutS
algC
ssuB
rtcB_1
alr
mexA
rtcB_2
mdtA
gsiB
mexB
hisJ
rodZ
sseA
yciE
rutB_2
rutC
gabP
motA
ompW
scpA
clpV1
xerC_5
uraA
elaA
dppB_2
pys2
dapA_2
fabG_1
dinB
iucB
ldh
mdtO
xerD_2
symE
yohK_2
RBKS
ynbC
fecA
rayT
icd
yhaV
fliD
btuF_2
cbrB
fliF
mgtA
hchA
mntP
nohA
mhpB
argF
mhpE
fdnG_1
yafN
ysdC
ybiA
ynbD
esiB
yafO
xerC_4
mhpA
mtnA
noc
nqrC
lexA_2
tnpR
yhcG
lexA_3
clpP_2
intQ
hcaB
arsB
btuB
traJ
cynT
cynS
chpS
chpB
hicB
folP_2
fliS_1
tap
xerC_6
fabG_3
tfaE
hicA
yedY1
parM
yedZ1
recD2
sasA
yciC
legI
neuA
yhaI
ygbT
merR
dinG_2
ygbF
aptA
ant1
casC
codB
merC
merT
dinJ
csy3
cas6f
tetA
tetR
csy1
yafQ
dpnM
merP
xerC_1
cdiA_1
recF_1
hsdR
merA
paaI
rfbX
mshA_2
recT
queC_2
dnaB_2
cysH_2
cpdA_2
cas3
rapA_2
sctC
umuC_1
hpcB
hpcG
hpaC
cdiA
vapC
cdiI
ydiO
repA
vapB
cas1
hilA
cdiA_2
relE
lsrG_2
caf1A
aacA4
ltrA
virB4
cat
intS
mdoB_2
yokD
mshA_1
tnsC
rdgC_2
dnaJ_2
betT1
arsD
arsA
btuB_1
bshA
wbjC
capD
cmoA_2
virB8
hsdS
higB2
rmlA
noc_1
pys1
rep_1
rep_2
mshA_3
smc
lpxD_1
copA_2
copD
ftsH_2
silP
cycB
lpxD_2
bdhA
fliC
smc_2
rrrD
cdiI_2
noc_2
lnpD
pglA
traL
mdoB_1
rnlA
clpX_2
hutI
pknD
rnlB
hutG
hutH
yeeF
fabG_4
aadB
higA
hutU
htpX_2
clpP_1
era_1
acr3
haeIIIM
pac_2
pal_3
hcp1
rapA_1
pcaB
metZ
sigL
rmlC
tauD_2
ydiK_2
eptA_2
mshA_4
murJ_2
prtR
moaA_1
pchR
fptA
recF_2
ftsH_3
stiP
yceD_3
gatC
capV
dncV
hspA
ddpX
htpX_3
arsC_1
ogg
lpxD_3
uvrD_1
higB-2
higB
oprB
perB
phaJ
pqqE
yedK_2
phnE_2
csaA
epsL
smc_1
dksA_2
ccmM
pyrC_2
prmC_1
czcB
yedK_1
tadA_2
imm
kdpB_2
ampR
rarD_2
cysQ_2
xerD_3
pcrA
apaH_1
panC_2
apaH_2
