Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
TMP_S,0.6486486486486487,0.3333333333333333,0.8,0.4444444444444444,0.7142857142857143
TMP_GY,0.7027027027027027,0.25,0.92,0.6,0.71875
TMP_GS,0.7567567567567568,0.4166666666666667,0.92,0.7142857142857143,0.7666666666666667
TMP_SY,0.6756756756756757,0.3333333333333333,0.84,0.5,0.7241379310344828
TMP_GYS,0.6756756756756757,0.25,0.88,0.5,0.7096774193548387
CIP_G,0.9393939393939394,0.7692307692307693,0.9811320754716981,0.9090909090909091,0.9454545454545454
CIP_S,0.9242424242424242,0.6923076923076923,0.9811320754716981,0.9,0.9285714285714286
CIP_GY,0.9318181818181818,0.7692307692307693,0.9716981132075472,0.8695652173913043,0.944954128440367
CIP_GS,0.9242424242424242,0.6923076923076923,0.9811320754716981,0.9,0.9285714285714286
CIP_SY,0.9242424242424242,0.6923076923076923,0.9811320754716981,0.9,0.9285714285714286
CIP_GYS,0.9242424242424242,0.7307692307692307,0.9716981132075472,0.8636363636363636,0.9363636363636364
